date,series_id,cost,orders,impressions,clicks
2021-02-25,Sparklight|Paid Search|Nonbrand NewWave FP,2405.81496407986,2.0,2947.0,331.0
2021-02-25,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,58655.0,116.0
2021-02-25,Sparklight|Paid Social|NewWave FP,551.161279773779,2.0,52692.0,120.0
2021-02-26,Cable One|Paid Search|Brand,967.633523121206,18.0,3876.0,807.0
2021-02-26,NewWave|Paid Search|Brand,1274.391023701138,9.9,5629.14,1311.75
2021-02-26,Sparklight|Paid Search|Brand,4487.780928469421,26.1,13918.86,3612.25
2021-02-26,Sparklight|Paid Search|Nonbrand CableOne FP,1363.70793194746,2.0,1816.0,130.0
2021-02-26,Sparklight|Paid Search|Nonbrand NewWave FP,2520.84653395575,3.0,2906.0,345.0
2021-02-26,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,58655.0,121.0
2021-02-26,Sparklight|Paid Social|NewWave FP,606.57783112032,2.0,67117.0,125.0
2021-02-27,Cable One|Paid Search|Brand,425.957374428035,15.0,2891.0,527.0
2021-02-27,NewWave|Paid Search|Brand,955.7957542399397,7.92,4695.57,939.51
2021-02-27,Sparklight|Paid Search|Brand,3186.5588912410003,18.08,12888.43,3379.49
2021-02-27,Sparklight|Paid Search|Nonbrand CableOne FP,1238.07316142043,1.0,1743.0,124.0
2021-02-27,Sparklight|Paid Search|Nonbrand NewWave FP,3015.61932437398,7.0,2906.0,410.0
2021-02-27,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,58994.0,122.0
2021-02-27,Sparklight|Paid Social|NewWave FP,643.648095826481,2.0,79530.0,124.0
2021-02-28,Cable One|Paid Search|Brand,420.599437968084,15.0,2963.0,542.0
2021-02-28,NewWave|Paid Search|Brand,910.6312713079735,6.93,4575.78,908.8199999999999
2021-02-28,Sparklight|Paid Search|Brand,3199.5571955891373,18.07,12887.220000000001,3379.1800000000003
2021-02-28,Sparklight|Paid Search|Nonbrand CableOne FP,1363.70793194746,2.0,1851.0,133.0
2021-02-28,Sparklight|Paid Search|Nonbrand NewWave FP,2654.16181023387,3.0,2869.0,364.0
2021-02-28,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,65149.0,148.0
2021-02-28,Sparklight|Paid Social|NewWave FP,647.242961318199,2.0,84131.0,108.0
2021-03-01,Cable One|Paid Search|Brand,823.41199055559,14.0,2868.0,630.0
2021-03-01,NewWave|Paid Search|Brand,1290.21188011916,13.0,4204.0,1241.0
2021-03-01,Sparklight|Paid Search|Brand,2181.32571296038,24.0,7287.0,2642.0
2021-03-01,Sparklight|Paid Search|Nonbrand CableOne FP,1699.52805738918,1.0,3445.0,128.0
2021-03-01,Sparklight|Paid Search|Nonbrand NewWave FP,2558.85417120968,3.0,12205.0,488.0
2021-03-01,Sparklight|Paid Social|CableOne FP,1301.9618916689,1.0,137251.0,285.0
2021-03-01,Sparklight|Paid Social|NewWave FP,946.33538946422,2.0,106736.0,237.0
2021-03-02,Cable One|Paid Search|Brand,848.018467084469,15.0,3020.0,668.0
2021-03-02,NewWave|Paid Search|Brand,1152.45357705649,13.0,4204.0,1142.0
